"ACTIVITY_ID","EXTERNAL_PERMIT_NMBR","VERSION_NMBR","FACILITY_TYPE_INDICATOR","PERMIT_TYPE_CODE","MAJOR_MINOR_STATUS_FLAG","PERMIT_STATUS_CODE","TOTAL_DESIGN_FLOW_NMBR","ACTUAL_AVERAGE_FLOW_NMBR","STATE_WATER_BODY","STATE_WATER_BODY_NAME","PERMIT_NAME","AGENCY_TYPE_CODE","ORIGINAL_ISSUE_DATE","ISSUE_DATE","ISSUING_AGENCY","EFFECTIVE_DATE","EXPIRATION_DATE","RETIREMENT_DATE","TERMINATION_DATE","PERMIT_COMP_STATUS_FLAG","RNC_TRACKING_FLAG","MASTER_EXTERNAL_PERMIT_NMBR","TMDL_INTERFACE_FLAG","EDMR_AUTHORIZATION_FLAG","PRETREATMENT_INDICATOR_CODE","RAD_WBD_HUC12S"
"3602468084","ORG5012A0","0",,"NGP",,"ADC",,,,,"Oregon Stormwater Discharge Permit - 1200-A","ST6","12/04/2012","01/14/2016",,"01/14/2016","12/03/2017",,,,"Y",,,"N",,
"3603440690","MOR80C000","0",,"NGP",,"EFF",,,,,"Motor Freight Transportation","ST6","09/25/1992","12/01/2022",,"12/01/2022","11/30/2027",,,,"Y",,,"N",,
"1800072652","NHG360000","1",,"NGP",,"ADC",,,,,"HYDROELECTRIC MASTER GENERATOR","EP6","12/07/2009","12/07/2009","US EPA REGION 1","01/01/2010","12/31/2014","03/31/2023",,,"Y",,,"N",,
"1200016399","CAG995001","1",,"NGP",,"ADC",,,,,"DEWTR & OTHER LOW THREAT DISCH","ST6","06/12/2008","06/12/2008",,"06/12/2008","06/01/2013","05/30/2013",,"Y","Y",,,"N",,
"3400125441","CAG018001","2",,"NGP","N","ADC",,,,,"Concentrated Animal Feeding Operations (Dairy and Related)","ST6","02/17/1994","06/07/2013",,"06/07/2013","06/01/2018","03/16/2019",,"Y","Y",,,"N",,
"3602426684","RIR05I000","0",,"NGP",,"EFF",,,,,"Multi-Sector MSG","EP6","06/04/2015","01/15/2021",,"03/01/2021","02/28/2026",,,,"Y",,,"N",,
"3602466029","AKR100000","0",,"NGP",,"EFF",,,,"VARIOUS","ALASKA CONSTRUCTION GENERAL PERMIT","ST6","09/09/1992","12/17/2020","ADEC","02/01/2021","01/31/2026",,,,"Y",,,"N",,
"2400199156","MOR14A000","0",,"NGP",,"TRM",,,,,"Not in Use - Paper and Allied Products","ST6","01/23/2004","01/23/2004","MODNR-Water Protection Program","01/23/2004","01/22/2009",,"02/27/2014",,"Y",,,"N",,
"3604314479","RIG250000","0",,"NGP",,"EFF",,,,,"RIPDES GP for NCCW","ST6","08/01/2003","02/27/2025",,"05/01/2025","04/30/2030",,,,"Y",,,"N",,
"600071541","MPR100000","1",,"NGP",,"ADC",,,,,"MP STORMWATER CONSTRUCTION","EP6","07/01/2003","07/01/2003",,"07/02/2003","07/01/2008","06/30/2008",,,"Y",,,"N",,
"3600151622","UTR05I000","1",,"NGP",,"ADC",,,,,"Multi-Sector MSG","EP6","06/04/2015","06/04/2015",,"06/04/2015","06/03/2020","02/28/2021",,,"Y",,,"N",,
"3600842233","MTG870000","2",,"NGP",,"ADC",,,,,"PESTICIDE PERMIT","ST6","04/09/2011","09/15/2016","MONTANA DEQ","11/01/2016","10/31/2021","10/31/2021",,,"Y",,,"N",,
"3600125959","CAG024902","0",,"NGP",,"ADC",,,,,"Low Threat Discharges to Surface Waters in the North Coast Region","ST6","05/27/1993","03/12/2015",,"06/21/2015","06/20/2020",,,,"Y",,,"N",,
"2400199128","MOG750000","1",,"NGP",,"ADC",,,,,,"ST6","08/20/1993","05/30/2008",,"05/30/2008","05/29/2013","07/31/2013",,,"Y",,,"N",,
"3602997229","ASR100000","0",,"NGP",,"EFF",,,,,"AS STORMWATER CONSTRUCTION","EP6","07/01/2003","02/17/2022",,"02/17/2022","02/16/2027",,,,"Y",,,"N",,
"3600657561","MIG440000","0",,"NGP",,"ADC",,,,,"GP-Conc Animal Feeding Op","ST6","12/13/2002","12/13/2002","State","01/01/2003","12/31/2007",,,,"Y",,,"N",,
"3603939155","NDG220000","0",,"NGP",,"EFF",,,,,"General Permit NDG220000-Waste Stabilization Pond Discharges to Class II Waters","ST6","03/17/2009","03/22/2024","North Dakota Department of Environmental Quality","04/01/2024","03/31/2029",,,,"Y",,,"N",,
