state,facility_name,permit_number,violation_date,violation_type,status,source_file,parameter
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250813_085603.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250930_082112.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250831_081745.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250917_081946.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250830_081735.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250817_081943.csv,Total Nitrogen
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20251014_081923.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250922_082113.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251003_081915.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251031_082015.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250827_082010.csv,Total Nitrogen
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250814_085501.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250903_081946.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251021_082142.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251001_082047.csv,Total Nitrogen
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250826_082143.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250919_081937.csv,Total Nitrogen
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250828_082003.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250822_082040.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251019_081749.csv,Total Nitrogen
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250819_082053.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250908_082154.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250925_082015.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250808_085833.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251006_082049.csv,Total Nitrogen
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250901_082208.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250803_181117.csv,Total Nitrogen
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20251017_082110.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250806_090018.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250923_082008.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20251020_082111.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250926_082118.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20251031_082015.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20251004_081650.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250905_081944.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250916_082049.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20251010_082027.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250914_081719.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20251028_082116.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250808_085833.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250923_082008.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250821_082038.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250906_081702.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20251017_082110.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250929_082214.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250819_082053.csv,Total Nitrogen
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250915_082030.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250904_081937.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20251002_081910.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251014_081923.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250823_081801.csv,Total Nitrogen
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250803_181117.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250808_085833.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250830_081735.csv,Total Nitrogen
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250820_082048.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251022_082259.csv,Total Nitrogen
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20250902_082045.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251007_082040.csv,Total Nitrogen
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20251023_082132.csv,
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,Unresolved,VA_violations_20251005_081712.csv,
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20251008_082103.csv,Total Nitrogen
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Under Review,MD_violations_20250902_082045.csv,Total Nitrogen
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20251015_082136.csv,
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,Active,PA_violations_20250912_081918.csv,
